"","X","DESIGN","Average.Price","Quantity","DesignCode","STREAMLINE"
"1",1,"HY0042",44.86,20,"DCV","DRESS"
"2",2,"HY0381",33.64,25,"DTB","DRESS"
"3",3,"HY0402",33.64,29,"DTG","DRESS"
"4",4,"HY0495",33.64,43,"DTB","DRESS"
"5",5,"HY0517",33.64,32,"DSK","DRESS"
"6",6,"HY0932",36.45,6,"MLS","COVET"
"7",7,"HY1004",33.64,2,"DSK","PETITE"
"8",8,"HY1005",35.51,2,"DPE","DRESS"
"9",9,"HY1014",25.23,2,"MAX","DRESS"
"10",10,"HY1017",33.64,2,"DSK","DRESS"
"11",11,"HY1024",33.64,7,"",""
"12",12,"HY1034",27.1,1,"DST","DRESS"
"13",13,"HY1047",33.64,2,"",""
"14",14,"HY1067",31.78,1,"",""
"15",15,"HY1072",31.78,2,NA,""
"16",16,"HY1079",45.79,2,"",""
"17",17,"HY1093",39.25,2,NA,""
"18",18,"HY1095",31.78,5,NA,""
"19",19,"HY1101",42.06,5,"DST",""
"20",20,"HY1108",25.23,1,"DPE",""
"21",21,"HY1109",33.64,3,"DPE",""
"22",22,"HY1110",39.25,1,"",""
"23",23,"HY1112",64.49,9,"DTG",""
"24",24,"HY1113",39.25,7,"DTB",""
"25",25,"HY1119",33.64,1,"",""
"26",26,"HY1120",33.64,2,"DSK",""
"27",27,"HY1124",44.86,3,"",""
"28",28,"HY1125",33.64,3,"",""
"29",29,"HY1132",27.1,4,"DTB",""
"30",30,"HY1133",27.1,8,"DTB",""
"31",31,"HY1133",25.39,6,"DTB",""
"32",32,"HY1138",33.64,1,"DTB",""
"33",33,"HY1139",42.06,1,"",""
"34",34,"HY1141",35.51,1,"",""
"35",35,"HY1146",25.23,13,"",""
"36",36,"HY1161",25.23,15,"DST",""
"37",37,"HY1166",21.5,14,NA,""
"38",38,"HY1175",33.64,5,"",""
"39",39,"HY1179",33.64,2,"DPE",""
"40",40,"HY1184",27.1,7,"DTB",""
"41",41,"HY1186",35.51,1,"",""
"42",42,"HY1195",39.25,1,"",""
"43",43,"HY1199",48.6,12,"DSK",""
"44",44,"HY1206",33.64,1,"",""
"45",45,"HY1207",45.79,4,"DPE",""
"46",46,"HY1209",42.06,2,"DSK",""
"47",47,"HY1211",33.64,1,"",""
"48",48,"HY1221",25.23,2,"DSK",""
"49",49,"HY1230",64.49,1,"DSK",""
"50",50,"HY1235",42.06,1,"",""
"51",51,"HY1236",44.86,7,"DTB",""
"52",52,"HY1238",31.78,8,"DTB",""
"53",53,"HY1239",36.45,1,"MLS",""
"54",54,"HY1242",31.78,2,"DST",""
"55",55,"HY1246",33.64,19,"DSK",""
"56",56,"HY1259",33.64,8,"",""
"57",57,"HY1262",42.06,23,"DST",""
"58",58,"HY1263",35.51,2,"DPE",""
"59",59,"HY1267",35.51,4,"",""
"60",60,"HY1269",35.51,3,"DPE",""
"61",61,"HY1274",33.64,16,"DSK",""
"62",62,"HY1276",33.64,6,"DPE",""
"63",63,"HY1277",42.06,31,"DSK",""
"64",64,"HY1278",39.25,20,"DSK",""
"65",65,"HY1309",33.64,15,"DPE",""
"66",66,"HY1311",33.64,10,"",""
"67",67,"HY1312",35.51,2,"",""
"68",68,"HY1314",33.64,5,"DSK",""
"69",69,"HY1325",33.64,8,"DSK",""
"70",70,"HY1337",33.64,27,"DST",""
"71",71,"HY1339",31.78,8,"DPE",""
"72",72,"HY1345",33.64,4,"MAX",""
"73",73,"HY1346",31.78,43,"DSK",""
"74",74,"HY1347",33.64,174,"DPE",""
"75",75,"HY1348",35.51,4,"DST",""
"76",76,"HY1349",35.51,28,"DSK",""
"77",77,"HY1355",39.25,170,"DST",""
"78",78,"HY1364",33.64,20,"",""
"79",79,"HY1368",33.64,3,"",""
"80",80,"HY1371",31.78,45,"DPE",""
"81",81,"HY1375",44.86,43,"DSK",""
"82",82,"HY1376",33.64,95,"DPE",""
"83",83,"HY1381",33.64,13,"DSK",""
"84",84,"HY1385",35.51,3,"DSK",""
"85",85,"HY1392",35.51,2,"DST",""
"86",86,"HY1395",35.51,5,"",""
"87",87,"HY1399",44.86,222,"DSK",""
"88",88,"HY1405",35.51,5,"DPE",""
"89",89,"HY1420",36.45,3,"DSK",""
"90",90,"HY1422",42.06,3,"DSK",""
"91",91,"HY1431",35.51,6,"",""
"92",92,"HY1437",36.45,249,"",""
"93",93,"HY1442",37.38,21,"DSK",""
"94",94,"HY1446",35.51,2,"DSK",""
"95",95,"HY1458",45.79,100,"DSK",""
"96",96,"HY1459",33.64,11,"DST",""
"97",97,"HY1460",33.64,14,"",""
"98",98,"HY1469",33.64,113,"DPE",""
"99",99,"HY1478",33.64,171,"DPE",""
"100",100,"HY1497",31.78,19,"DST",""
"101",101,"HY1501",31.78,1,"MAX",""
"102",102,"HY1502",33.64,5,"",""
"103",103,"HY1505",31.78,175,"DSK",""
"104",104,"HY1508",33.64,196,"DSK",""
"105",105,"HY1510",31.78,30,"",""
"106",106,"HY1516",31.78,261,"DST",""
"107",107,"HY1522",33.64,14,"DSK",""
"108",108,"HY1528",31.78,9,"DPE",""
"109",109,"HY1530",35.51,357,"MAX",""
"110",110,"HY1532",33.64,291,"",""
"111",111,"HY1533",33.64,107,"DSK",""
"112",112,"HY1541",31.78,376,"",""
"113",113,"HY1542",33.64,375,"DPE",""
"114",114,"HY1543",33.64,84,"DSK",""
"115",115,"HY1544",33.64,19,"DSK",""
"116",116,"HY1551",33.64,145,"DPE",""
"117",117,"HY1552",33.64,148,"DSK",""
"118",118,"HY1559",35.51,52,"DSK",""
"119",119,"HY1567",45.79,320,"",""
"120",120,"HY1573",35.51,358,"",""
"121",121,"HY1604",33.64,294,"DSK",""
"122",122,"HY1605",33.64,272,"DSK",""
"123",123,"HY1627",33.64,91,"DSK",""
