"","SKU","V1"
"1","HY0381",41
"2","HY0386",46
"3","HY0402",88
"4","HY0495",36
"5","HY0914",6
"6","HY0943",25
"7","HY0965",7
"8","HY0980",7
"9","HY0984",7
"10","HY0986",18
"11","HY0999",7
"12","HY1005",21
"13","HY1014",7
"14","HY1017",7
"15","HY1024",45
"16","HY1047",7
"17","HY1069",2
"18","HY1072",14
"19","HY1095",41
"20","HY1096",5
"21","HY1097",21
"22","HY1101",14
"23","HY1108",27
"24","HY1109",16
"25","HY1119",7
"26","HY1120",7
"27","HY1124",14
"28","HY1132",20
"29","HY1141",7
"30","HY1143",7
"31","HY1147",2
"32","HY1161",77
"33","HY1175",46
"34","HY1179",7
"35","HY1184",22
"36","HY1186",7
"37","HY1195",7
"38","HY1206",2
"39","HY1210",7
"40","HY1211",7
"41","HY1213",28
"42","HY1224",49
"43","HY1238",39
"44","HY1239",7
"45","HY1242",14
"46","HY1246",74
"47","HY1259",30
"48","HY1261",34
"49","HY1262",88
"50","HY1263",21
"51","HY1266",131
"52","HY1267",35
"53","HY1273",14
"54","HY1274",111
"55","HY1275",28
"56","HY1276",18
"57","HY1279",2
"58","HY1280",38
"59","HY1281",39
"60","HY1290",32
"61","HY1309",69
"62","HY1310",9
"63","HY1311",60
"64","HY1312",32
"65","HY1313",25
"66","HY1325",46
"67","HY1326",39
"68","HY1337",142
"69","HY1338",18
"70","HY1339",28
"71","HY1340",235
"72","HY1345",14
"73","HY1346",66
"74","HY1348",14
"75","HY1349",177
"76","HY1353",121
"77","HY1364",98
"78","HY1366",7
"79","HY1368",21
"80","HY1371",72
"81","HY1376",470
"82","HY1381",36
"83","HY1385",25
"84","HY1392",18
"85","HY1395",28
"86","HY1405",35
"87","HY1412",21
"88","HY1428",18
"89","HY1430",28
"90","HY1431",24
"91","HY1442",59
"92","HY1446",7
"93","HY1459",82
"94","HY1460",54
"95","HY1473",58
"96","HY1497",53
"97","HY1498",13
"98","HY1502",7
"99","HY1503",187
"100","HY1505",200
"101","HY1508",157
"102","HY1510",129
"103","HY1516",561
"104","HY1517",19
"105","HY1518",83
"106","HY1519",162
"107","HY1522",71
"108","HY1528",12
"109","HY1530",530
"110","HY1542",580
"111","HY1543",271
"112","HY1559",340
