"","Product.SKU","Custom.Variable..Value.01.","Quantity","Unique.Purchases","Product.Revenue","Average.Price","Average.QTY","indicatorQTC","colourIndicator","colour","age","ageGroup","Design","productName","productCategory"
"466","HY1645-014-S","35;;19113;2014-11-26 22:43:16",1,1,35.51,35.51,1,"H","014","Black",35,"30 - 35","HY1645","Raissa Dropwaist Dress ","Dress"
"467","HY1645-031-L","30;;16372;2014-11-26 19:10:25",1,1,35.51,35.51,1,"H","031","White",30,"30 - 35","HY1645","Raissa Dropwaist Dress ","Dress"
"469","HY1645-031-M","26;wentingchen88SORRY728363;37164;2014-11-30 22:29:54",1,1,35.51,35.51,1,"H","031","White",26,"24 - 29","HY1645","Raissa Dropwaist Dress ","Dress"
"470","HY1645-031-M","28;;74793;2014-11-30 23:53:09",1,1,35.51,35.51,1,"H","031","White",28,"24 - 29","HY1645","Raissa Dropwaist Dress ","Dress"
"471","HY1645-031-S","29;;1871;2014-11-26 14:36:11",1,1,35.51,35.51,1,"H","031","White",29,"24 - 29","HY1645","Raissa Dropwaist Dress ","Dress"
"472","HY1645-031-S","32;;53321;2014-11-26 00:47:33",1,1,35.51,35.51,1,"H","031","White",32,"30 - 35","HY1645","Raissa Dropwaist Dress ","Dress"
"482","HY1651-000-L","27;;32444;2014-11-26 14:18:52",1,1,31.78,31.78,1,"H","000","No Colour",27,"24 - 29","HY1651","Aretha Abstract Print Shirt Blouse ","Blouse"
"483","HY1651-000-L","36;yk230827CED722560,yk230827CED722560,yk230827CED722560;629;2014-11-26 14:26:47",1,1,31.78,31.78,1,"H","000","No Colour",36,"Above 35","HY1651","Aretha Abstract Print Shirt Blouse ","Blouse"
"506","HY1659-014-M","24;vaness25;2541;2014-11-26 21:13:42",1,1,39.25,39.25,1,"H","014","Black",24,"24 - 29","HY1659","Jaylisa Pleated Jumpsuit ","Jumpsuit"
"507","HY1659-031-XS","26;;89639;2014-11-27 22:58:49",1,1,39.25,39.25,1,"H","031","White",26,"24 - 29","HY1659","Jaylisa Pleated Jumpsuit ","Jumpsuit"
"509","HY1659-235-L","29;;18051;2014-11-26 16:07:59",1,1,39.25,39.25,1,"H","235","Clay",29,"24 - 29","HY1659","Jaylisa Pleated Jumpsuit ","Jumpsuit"
"510","HY1659-235-L","32;;11450;2014-11-26 14:35:56",1,1,39.25,39.25,1,"H","235","Clay",32,"30 - 35","HY1659","Jaylisa Pleated Jumpsuit ","Jumpsuit"
"511","HY1659-235-M","27;;13344;2014-11-27 10:05:00",1,1,39.25,39.25,1,"H","235","Clay",27,"24 - 29","HY1659","Jaylisa Pleated Jumpsuit ","Jumpsuit"
"512","HY1659-235-S","27;;10895;2014-11-26 14:39:40",1,1,39.25,39.25,1,"H","235","Clay",27,"24 - 29","HY1659","Jaylisa Pleated Jumpsuit ","Jumpsuit"
"513","HY1659-235-S","30;;4318;2014-11-28 11:24:10",1,1,39.25,39.25,1,"H","235","Clay",30,"30 - 35","HY1659","Jaylisa Pleated Jumpsuit ","Jumpsuit"
"515","HY1659-318-S","22;;84213;2014-11-27 15:35:13",1,1,39.25,39.25,1,"H","318","Cobalt",22,"18 - 23","HY1659","Jaylisa Pleated Jumpsuit ","Jumpsuit"
"805","HY1673-014-L","25;;17415;2014-11-26 14:56:26",1,1,27.1,27.1,1,"H","014","Black",25,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"806","HY1673-014-L","27;;2162;2014-11-28 20:14:12",1,1,27.1,27.1,1,"H","014","Black",27,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"807","HY1673-014-S","27;;71048;2014-11-26 14:52:24",1,1,27.1,27.1,1,"H","014","Black",27,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"808","HY1673-014-XS","25;yuning.tanCED715425;71314;2014-11-29 11:17:05",1,1,27.1,27.1,1,"H","014","Black",25,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"809","HY1673-014-XS","28;LBMB2014;78262;2014-11-28 11:00:22",1,1,27.1,27.1,1,"H","014","Black",28,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"810","HY1673-031-L","33;;33610;2014-11-27 07:46:56",1,1,27.1,27.1,1,"H","031","White",33,"30 - 35","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"812","HY1673-031-S","27;;43435;2014-11-28 11:05:47",1,1,27.1,27.1,1,"H","031","White",27,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"813","HY1673-031-S","27;;71048;2014-11-26 14:52:24",1,1,27.1,27.1,1,"H","031","White",27,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"814","HY1673-031-S","30;;12247;2014-12-01 00:00:13",1,1,27.1,27.1,1,"H","031","White",30,"30 - 35","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"815","HY1673-031-S","30;;46406;2014-12-01 01:57:18",1,1,27.1,27.1,1,"H","031","White",30,"30 - 35","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"816","HY1673-031-S","30;;83158;2014-11-26 23:41:53",1,1,27.1,27.1,1,"H","031","White",30,"30 - 35","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"817","HY1673-031-XS","24;LB2014GRPS17;8973;2014-11-26 15:08:46",1,1,27.1,27.1,1,"H","031","White",24,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"818","HY1673-031-XS","26;SPRORDgp1to7;75202;2014-11-27 11:12:57",1,1,27.1,27.1,1,"H","031","White",26,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"819","HY1673-093-L","29;LB2014GRPS17;59565;2014-11-27 16:58:08",1,1,27.1,27.1,1,"H","093","Baby Blue",29,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"820","HY1673-093-S","22;;89625;2014-11-27 17:09:41",1,1,27.1,27.1,1,"H","093","Baby Blue",22,"18 - 23","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"821","HY1673-093-S","24;LB2014GRPS17;5959;2014-11-26 14:42:41",1,1,27.1,27.1,1,"H","093","Baby Blue",24,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"822","HY1673-093-S","28;;293;2014-11-28 19:44:12",1,1,27.1,27.1,1,"H","093","Baby Blue",28,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"823","HY1673-093-XS","25;LBMB2014;68346;2014-11-28 15:53:10",1,1,27.1,27.1,1,"H","093","Baby Blue",25,"24 - 29","HY1673","Tiana Flutter Sleeve Crop Top ","Top"
"1000","S0126-035-37","33;;33736;2014-11-29 20:17:24",2,2,78.5,39.25,1,"S","035","Cream",33,"30 - 35","S0126","Luna Lace","Heels"
